Substance,Macro-region,Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
CO2,Latin America and Caribbean,Organic Soil,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-4.496865,-2.96373,-2.96373,-2.96373,-2.96373
CO2,Latin America and Caribbean,Other Land,-31.72536076,-38.30063119,-39.95878608,-39.91955482,-44.67789863,-33.07482239,-42.00655644,-53.35343632,-56.3293531,-62.68727787,-66.24644282,-63.43247011,-62.05882412,-32.65381594,-29.32699687,-59.47180595,-60.09192272,-65.77906849,-64.48931105,-79.55675599,-75.58379415,-75.16608878,-78.15306229,-76.67556405,-89.87935208,-86.22143635,-100.6112642,-104.2947081,-95.72074273,-96.50766382,-94.82415362,-94.82415362,-94.82415362,-94.82415362
CO2,Middle East,Deforestation,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748
CO2,Middle East,Fires,2.561970125,5.466492132,1.772776387,2.24350844,4.919605129,4.919605129,7.072149402,1.66995289,6.892726136,4.382574368,3.298689701,3.909361218,0.962833088,0.642183029,0.843420293,0.975338636,0.742909003,0.882350637,0.214638674,0.208238333,1.588507716,1.063380822,0.388804696,0.604089266,1.123158102,0.770506497,1.259964566,0.950485493,0.471160865,21.11436877,3.893634986,1.024841702,0.33019562,3.086544456
GWP_100_AR5_CH4,Middle East,Fires,0.173458693,0.328765815,0.10945372,0.11464418,0.348342442,0.348342442,0.496352945,0.104421705,0.480221913,0.277364445,0.251942131,0.267778659,0.074832313,0.048337614,0.061456386,0.062469914,0.048032242,0.074990039,0.042316677,0.035788862,0.176484605,0.05983668,0.047988264,0.043724444,0.070274811,0.080201255,0.096920576,0.061708878,0.052692703,0.944760363,0.306834696,0.077079371,0.032787824,0.173532797
GWP_100_AR5_N2O,Middle East,Fires,0.121606409,0.239882305,0.07810445,0.097368858,0.222739085,0.222739085,0.322153883,0.074086971,0.307717943,0.198332466,0.166400591,0.185786859,0.064664878,0.041770004,0.049479754,0.053448771,0.041506122,0.061988791,0.03647015,0.030926244,0.126854836,0.051027844,0.028833935,0.037395707,0.060726602,0.068625493,0.083073167,0.050463646,0.044854517,0.815975718,0.260841708,0.062000139,0.024502296,0.146138317
CO2,Middle East,Forest Land,-12.08097037,-11.11685887,-11.07473372,-10.65943801,-10.48120726,-10.22982508,-10.1810597,-9.755755739,-9.910912382,-10.02044716,-9.904099049,-9.851616113,-10.6444201,-10.04653819,-10.07671801,-10.00625165,-9.823956339,-9.537965154,-9.289296863,-9.165300347,-9.241786386,-9.184421298,-8.869433464,-8.718136885,-8.552712673,-8.98588115,-9.232001542,-9.075281751,-8.961308493,-8.823446422,-9.146099364,-8.953099725,-8.874660418,-8.718683716
CO2,North America,Deforestation,120.8134026,121.1564012,121.4835638,121.7380294,122.1109128,122.4498163,122.7932972,123.1196108,123.4590972,123.7642475,124.1591432,124.4950782,124.7892456,125.1903973,125.4992838,125.9147255,126.2427789,126.5442659,126.8971116,127.2462694,127.5664581,127.9655733,128.2994227,128.7056795,129.1436674,129.3601146,129.5576735,129.7151583,129.7554799,129.7086057,129.7378809,131.917099,131.917099,131.917099
CO2,North America,Fires,195.1166719,210.3016876,126.6605559,149.2948795,285.8042889,285.8042889,126.9376175,84.46451772,327.8301079,135.3045329,149.15986,89.97811916,79.08091643,100.8672361,72.1329305,74.96986279,47.89649616,62.02040807,47.10981977,33.39052905,44.83086801,58.61221627,78.8858286,115.7876803,77.31921754,136.822934,59.36951706,92.58695853,105.4284652,72.71783104,89.3501821,178.6750879,70.16766534,503.1694548
GWP_100_AR5_CH4,North America,Fires,34.97647502,36.35002042,24.1736662,29.69061958,58.42376661,58.42376661,20.87353085,15.51601468,74.31722159,33.03400073,30.51755684,18.60947645,31.58535034,32.54822295,19.38073025,20.66881439,20.19387371,50.54868619,12.88265605,10.83027883,13.02460364,41.14085527,29.09921718,36.36025552,27.36981214,32.54802808,20.84217363,29.83154362,18.60411733,19.22372913,11.79828602,40.18780897,17.98617912,144.3587945
